NBA Draft Combine – Strength & Agility Statistics by Position (2014–Present),,,,,,,,,,,,,,
Position,Metric,N,Mean,Median,SD ?2,SD ?1,SD +1,SD +2,,Very Low,Low,Average,High,Very High
F,Standing Vertical Leap (in),15,30.83,30.50,24.54,27.68,33.98,37.13,,"Very Low
< 24.54","Low
24.54 – 27.68","Average
27.68 – 33.98","High
33.98 – 37.13","Very High
? 37.13"
F,Max Vertical Leap (in),15,37.23,37.50,31.62,34.42,40.04,42.85,,"Very Low
< 31.62","Low
31.62 – 34.42","Average
34.42 – 40.04","High
40.04 – 42.85","Very High
? 42.85"
PF-SF,Lane Agility Time (sec),2,11.26,11.26,10.39,10.82,11.69,12.12,,"Very High
< 10.39","High
10.39 – 10.82","Average
10.82 – 11.69","Low
11.69 – 12.12","Very Low
? 12.12"
PF-SF,Shuttle Run (sec),2,3.14,3.14,3.09,3.11,3.16,3.18,,"Very High
< 3.09","High
3.09 – 3.11","Average
3.11 – 3.16","Low
3.16 – 3.18","Very Low
? 3.18"
PF-SF,3/4 Court Sprint (sec),2,3.45,3.45,3.26,3.35,3.54,3.63,,"Very High
< 3.26","High
3.26 – 3.35","Average
3.35 – 3.54","Low
3.54 – 3.63","Very Low
? 3.63"
PF-SF,Standing Vertical Leap (in),2,27.75,27.75,21.39,24.57,30.93,34.11,,"Very Low
< 21.39","Low
21.39 – 24.57","Average
24.57 – 30.93","High
30.93 – 34.11","Very High
? 34.11"
PF-SF,Max Vertical Leap (in),2,33.00,33.00,27.34,30.17,35.83,38.66,,"Very Low
< 27.34","Low
27.34 – 30.17","Average
30.17 – 35.83","High
35.83 – 38.66","Very High
? 38.66"
PF-SF,Max Bench Press (reps),1,7.00,7.00,,,,,,"Very Low
< nan","Low
nan – nan","Average
nan – nan","High
nan – nan","Very High
? nan"
PF,Lane Agility Time (sec),152,11.39,11.30,10.42,10.90,11.87,12.35,,"Very High
< 10.42","High
10.42 – 10.90","Average
10.90 – 11.87","Low
11.87 – 12.35","Very Low
? 12.35"
PF,Shuttle Run (sec),134,3.10,3.08,2.70,2.90,3.30,3.51,,"Very High
< 2.70","High
2.70 – 2.90","Average
2.90 – 3.30","Low
3.30 – 3.51","Very Low
? 3.51"
PF,3/4 Court Sprint (sec),152,3.31,3.28,3.07,3.19,3.43,3.55,,"Very High
< 3.07","High
3.07 – 3.19","Average
3.19 – 3.43","Low
3.43 – 3.55","Very Low
? 3.55"
PF,Standing Vertical Leap (in),151,29.07,29.00,22.84,25.95,32.18,35.29,,"Very Low
< 22.84","Low
22.84 – 25.95","Average
25.95 – 32.18","High
32.18 – 35.29","Very High
? 35.29"
PF,Max Vertical Leap (in),169,34.51,34.50,28.22,31.37,37.65,40.80,,"Very Low
< 28.22","Low
28.22 – 31.37","Average
31.37 – 37.65","High
37.65 – 40.80","Very High
? 40.80"
PF,Max Bench Press (reps),29,8.31,8.00,-1.28,3.51,13.11,17.90,,"Very Low
< -1.28","Low
-1.28 – 3.51","Average
3.51 – 13.11","High
13.11 – 17.90","Very High
? 17.90"
PF-C,Lane Agility Time (sec),10,11.78,11.70,10.93,11.35,12.20,12.62,,"Very High
< 10.93","High
10.93 – 11.35","Average
11.35 – 12.20","Low
12.20 – 12.62","Very Low
? 12.62"
PF-C,Shuttle Run (sec),10,3.16,3.18,2.88,3.02,3.30,3.44,,"Very High
< 2.88","High
2.88 – 3.02","Average
3.02 – 3.30","Low
3.30 – 3.44","Very Low
? 3.44"
PF-C,3/4 Court Sprint (sec),10,3.34,3.36,3.15,3.25,3.44,3.53,,"Very High
< 3.15","High
3.15 – 3.25","Average
3.25 – 3.44","Low
3.44 – 3.53","Very Low
? 3.53"
PF-C,Standing Vertical Leap (in),10,29.10,29.00,24.71,26.90,31.30,33.49,,"Very Low
< 24.71","Low
24.71 – 26.90","Average
26.90 – 31.30","High
31.30 – 33.49","Very High
? 33.49"
PF-C,Max Vertical Leap (in),10,33.80,32.50,29.01,31.41,36.19,38.59,,"Very Low
< 29.01","Low
29.01 – 31.41","Average
31.41 – 36.19","High
36.19 – 38.59","Very High
? 38.59"
PF-C,Max Bench Press (reps),4,10.00,8.50,-1.20,4.40,15.60,21.20,,"Very Low
< -1.20","Low
-1.20 – 4.40","Average
4.40 – 15.60","High
15.60 – 21.20","Very High
? 21.20"
C-PF,Lane Agility Time (sec),2,11.65,11.65,11.16,11.41,11.90,12.15,,"Very High
< 11.16","High
11.16 – 11.41","Average
11.41 – 11.90","Low
11.90 – 12.15","Very Low
? 12.15"
C-PF,Shuttle Run (sec),2,3.08,3.08,3.06,3.07,3.08,3.09,,"Very High
< 3.06","High
3.06 – 3.07","Average
3.07 – 3.08","Low
3.08 – 3.09","Very Low
? 3.09"
C-PF,3/4 Court Sprint (sec),2,3.28,3.28,3.00,3.14,3.42,3.56,,"Very High
< 3.00","High
3.00 – 3.14","Average
3.14 – 3.42","Low
3.42 – 3.56","Very Low
? 3.56"
C-PF,Standing Vertical Leap (in),2,25.75,25.75,22.21,23.98,27.52,29.29,,"Very Low
< 22.21","Low
22.21 – 23.98","Average
23.98 – 27.52","High
27.52 – 29.29","Very High
? 29.29"
C-PF,Max Vertical Leap (in),2,32.75,32.75,29.21,30.98,34.52,36.29,,"Very Low
< 29.21","Low
29.21 – 30.98","Average
30.98 – 34.52","High
34.52 – 36.29","Very High
? 36.29"
C-PF,Max Bench Press (reps),2,7.50,7.50,6.09,6.79,8.21,8.91,,"Very Low
< 6.09","Low
6.09 – 6.79","Average
6.79 – 8.21","High
8.21 – 8.91","Very High
? 8.91"
C,Lane Agility Time (sec),92,11.67,11.60,10.68,11.18,12.17,12.67,,"Very High
< 10.68","High
10.68 – 11.18","Average
11.18 – 12.17","Low
12.17 – 12.67","Very Low
? 12.67"
C,Shuttle Run (sec),82,3.12,3.10,2.75,2.93,3.30,3.48,,"Very High
< 2.75","High
2.75 – 2.93","Average
2.93 – 3.30","Low
3.30 – 3.48","Very Low
? 3.48"
C,3/4 Court Sprint (sec),92,3.35,3.33,3.05,3.20,3.49,3.64,,"Very High
< 3.05","High
3.05 – 3.20","Average
3.20 – 3.49","Low
3.49 – 3.64","Very Low
? 3.64"
C,Standing Vertical Leap (in),92,28.39,28.00,21.45,24.92,31.85,35.32,,"Very Low
< 21.45","Low
21.45 – 24.92","Average
24.92 – 31.85","High
31.85 – 35.32","Very High
? 35.32"
C,Max Vertical Leap (in),100,32.72,32.50,24.67,28.70,36.75,40.78,,"Very Low
< 24.67","Low
24.67 – 28.70","Average
28.70 – 36.75","High
36.75 – 40.78","Very High
? 40.78"
C,Max Bench Press (reps),8,10.12,10.50,3.24,6.68,13.57,17.01,,"Very Low
< 3.24","Low
3.24 – 6.68","Average
6.68 – 13.57","High
13.57 – 17.01","Very High
? 17.01"
